形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理
75,96,92,82,87,74,60,92,77
66,81,87,76,80,79,76,87,77
65,90,90,69,79,60,85,91,77
75,88,92,73,76,85,76,76,77
71,79,92,69,83,86,92,76,77
61,71,92,71,85,64,70,76,77
0,76,92,89,87,80,80,83,76
60,75,92,68,77,61,83,83,76
80,90,98,79,77,91,98,92,76
78,75,92,74,75,70,95,79,76
78,87,92,80,85,69,84,87,76
80,79,92,83,86,85,92,73,76
60,72,92,76,81,85,83,87,76
80,87,92,79,79,82,90,92,76
81,83,98,67,90,83,87,98,76
60,81,92,74,84,86,79,79,76
73,81,88,72,87,85,79,86,76
60,90,87,80,80,67,85,83,76
80,85,87,80,71,88,88,87,76
61,80,87,76,73,62,80,89,76
60,76,64,67,71,60,63,79,76
78,70,92,72,89,77,83,76,76
64,80,92,79,80,83,95,87,76
79,83,87,76,89,71,79,92,76
83,80,79,83,79,63,73,70,76
63,80,83,61,73,75,95,98,76
81,77,92,72,80,78,95,87,76
60,90,92,65,72,77,85,92,76
0,80,0,73,0,0,0,0,76
60,86,84,60,91,73,75,85,76
88,82,98,78,70,89,93,87,76
83,90,98,90,86,93,98,92,75
74,88,92,60,88,85,87,66,75
86,92,98,85,79,80,94,83,75
72,85,98,75,82,80,98,92,75
63,85,98,77,85,86,98,98,75
65,80,92,70,85,73,98,87,75
81,84,92,84,71,93,82,87,75
65,92,62,75,70,78,98,66,75
0,90,92,84,85,85,95,92,75
66,75,98,73,74,80,94,92,75
65,81,92,84,82,82,95,87,75
64,86,88,71,92,68,70,83,75
82,74,87,75,77,78,95,79,75
79,81,95,76,93,73,90,92,75
76,75,87,79,81,66,80,90,75
62,76,92,78,81,75,83,87,75
65,83,92,66,81,85,83,92,75
72,78,91,74,85,66,80,92,75
62,69,87,60,79,88,62,76,75
75,85,98,83,86,81,98,87,75
79,76,98,70,87,74,92,83,75
84,75,87,76,71,76,59,92,75
72,84,87,77,88,77,98,92,75
80,83,92,83,80,83,81,87,75
73,69,83,68,80,71,83,79,75
78,84,92,79,76,81,90,83,75
65,76,87,73,90,74,95,98,75
71,71,70,68,85,74,79,76,75
66,85,90,62,82,73,81,85,75
77,83,92,72,87,88,79,73,75
72,80,87,74,80,67,95,73,75
61,77,88,65,87,61,75,85,75
77,87,83,80,89,88,79,76,75
64,76,92,72,76,72,92,79,75
67,66,92,67,76,74,79,76,75
72,87,98,70,90,79,98,83,74
